category,cluster,keyword,Sacramento,San Diego,San Jose,Huntington Beach,Orange County,Livermore,San Francisco,Fremont,Los Angeles,Folsom,Roseville,San Mateo,Sunnyvale,Santa Monica,Chula Vista,Carlsbad,Thousand Oaks
water_heater,replacement,water heater replacement,140,320,170,40,590,20,90,70,590,20,70,30,30,10,50,10,20
water_heater,replacement,water heater replacement near me,50,110,90,10,90,10,40,20,70,10,20,10,10,10,10,10,10
water_heater,replacement,replace water heater,140,320,170,40,590,20,90,70,590,20,70,30,30,10,50,10,20
water_heater,replacement,replace water heater near me,50,110,90,10,90,10,40,20,70,10,20,10,10,10,10,10,10
water_heater,replacement,water heater replacement service,10,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,10
water_heater,replacement,water heater replacement services,10,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,10
water_heater,replacement,water heater replacement company,10,10,10,0,10,0,10,10,10,0,10,0,10,0,0,10,10
water_heater,replacement,water heater replacement contractor,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0
water_heater,replacement,water heater replacement contractors,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0
water_heater,replacement,water heater replacement installer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,replacement,water heater replacement installers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,replacement,local water heater replacement,10,10,10,0,10,0,10,0,10,0,0,0,0,0,0,10,0
water_heater,replacement,professional water heater replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,replacement,residential water heater replacement,10,10,10,0,10,0,0,10,10,0,0,0,0,0,0,0,0
water_heater,replacement,home water heater replacement,10,10,10,0,10,0,10,10,10,10,10,0,0,0,0,0,0
water_heater,replacement,hot water heater replacement,30,110,20,10,50,10,20,10,50,10,10,20,10,10,10,10,10
water_heater,replacement,hot water heater replacement near me,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
water_heater,replacement,water heater change out,10,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0
water_heater,replacement,water heater changeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,replacement,water heater swap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,installation,water heater installation,110,260,110,10,170,20,50,50,390,10,70,10,20,10,10,10,10
water_heater,installation,water heater installation near me,70,110,70,10,140,10,20,20,260,10,20,10,10,10,10,10,10
water_heater,installation,water heater installation service,10,10,10,10,20,10,10,10,30,10,10,10,10,10,10,10,10
water_heater,installation,water heater installation services,10,10,10,10,20,10,10,10,30,10,10,10,10,10,10,10,10
water_heater,installation,water heater installation company,10,10,10,0,10,10,10,0,10,10,0,0,10,0,10,10,0
water_heater,installation,water heater installation contractor,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
water_heater,installation,water heater installation contractors,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
water_heater,installation,water heater installer,110,260,110,10,170,20,50,50,390,10,70,10,20,10,10,10,10
water_heater,installation,water heater installers,110,260,110,10,170,20,50,50,390,10,70,10,20,10,10,10,10
water_heater,installation,water heater installer near me,70,110,70,10,140,10,20,20,260,10,20,10,10,10,10,10,10
water_heater,installation,local water heater installer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,installation,professional water heater installation,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
water_heater,installation,residential water heater installation,10,10,10,0,10,0,10,10,10,0,0,10,10,0,10,0,0
water_heater,installation,home water heater installation,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
water_heater,installation,hot water heater installation,10,30,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
water_heater,installation,hot water heater installer,10,30,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10
water_heater,cost,water heater replacement cost,170,260,210,20,320,20,140,70,390,20,40,20,30,10,40,20,10
water_heater,cost,cost to replace water heater,170,260,210,20,320,20,140,70,390,20,40,20,30,10,40,20,10
water_heater,cost,how much to replace water heater,20,40,20,10,70,10,20,10,70,10,10,10,10,10,10,10,10
water_heater,cost,water heater installation cost,40,70,40,10,140,10,30,20,140,10,10,10,10,10,10,10,10
water_heater,cost,cost to install water heater,40,70,40,10,140,10,30,20,140,10,10,10,10,10,10,10,10
water_heater,cost,water heater replacement estimate,10,10,10,10,10,0,10,0,10,0,0,10,0,0,0,0,0
water_heater,cost,water heater installation estimate,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10
water_heater,cost,water heater replacement quote,10,10,10,0,10,10,0,0,10,0,10,10,0,0,10,10,0
water_heater,cost,water heater installation quote,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
water_heater,cost,water heater replacement price,10,10,10,10,10,10,10,10,10,0,10,0,10,0,10,0,0
water_heater,cost,water heater installation price,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10
water_heater,same_day,same day water heater replacement,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0
water_heater,same_day,same day water heater installation,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10
water_heater,same_day,same day water heater installer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,same_day,emergency water heater replacement,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,0
water_heater,same_day,emergency water heater installation,0,10,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0
water_heater,same_day,urgent water heater replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,same_day,24 hour water heater replacement,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0,0,10
water_heater,same_day,water heater replacement today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,tank,tank water heater replacement,10,20,10,10,30,10,10,10,30,10,10,10,10,10,10,10,10
water_heater,tank,tank water heater installation,10,10,10,10,20,10,10,10,40,10,10,20,20,10,10,10,10
water_heater,tank,tank water heater installer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,tank,storage tank water heater replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,tank,standard water heater replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water_heater,tank,conventional water heater replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
